name,URL,company,company_url,sweet_spot,range
Sebastien Gros,https://signal.nfx.com/investors/sebastien-gros,Ludis Capital,https://signal.nfx.com/firms/ludis-capital,$1M,$100K - $2.0M
Tyler Winklevoss,https://signal.nfx.com/investors/tyler-winklevoss,Winklevoss Capital,https://signal.nfx.com/firms/winklevoss-capital,$1.5M,$100K - $5.0M
Andy White,https://signal.nfx.com/investors/andy-white,Keshif Ventures,https://signal.nfx.com/firms/keshif-ventures,$100K,$25K - $300K
Tak Lee,https://signal.nfx.com/investors/tak-lee,Hashed,https://signal.nfx.com/firms/hashed,$1.5M,$100K - $5.0M
Baek Kim,https://signal.nfx.com/investors/baek-kim,Hashed,https://signal.nfx.com/firms/hashed,$1.5M,$100K - $5.0M
Seung-yoon Lee,https://signal.nfx.com/investors/seung-yoon-lee,Hashed,https://signal.nfx.com/firms/hashed,$1.5M,$100K - $5.0M
Diana Moldavsky,https://signal.nfx.com/investors/diana-moldavsky,Tencent Games,https://signal.nfx.com/firms/tencent-games,$1M,$100K - $10.0M
Benjamin Painter,https://signal.nfx.com/investors/benjamin-painter,Goodwater Capital,https://signal.nfx.com/firms/goodwater-capital,$2.5M,$500K - $5.0M
Abby Hsu,https://signal.nfx.com/investors/abby-hsu,Infinity Ventures Crypto,https://signal.nfx.com/firms/infinity-ventures-crypto,$500K,$250K - $1M
Jamie Burke,https://signal.nfx.com/investors/jamie-burke,Outlier Ventures,https://signal.nfx.com/firms/outlier-ventures,$1.5M,$100K - $5.0M
Richard Lin,https://signal.nfx.com/investors/richard-ling,Smash Capital,https://signal.nfx.com/firms/smash-capital,$1.5M,$100K - $5.0M
Paraj Mathur,https://signal.nfx.com/investors/paraj-mathur_2,BIP Capital,https://signal.nfx.com/firms/bip-capital,$250K,$100K - $10.0M
Maurice Maschmeyer,https://signal.nfx.com/investors/maurice-maschmeyer,Bam Ventures,https://signal.nfx.com/firms/bam-ventures,$500K,$500K - $1M
Alex Biega,https://signal.nfx.com/investors/alex-biega,The Players' Impact,https://signal.nfx.com/firms/the-players-impact,$1.5M,$100K - $5.0M
Vicky Wu Davis,https://signal.nfx.com/investors/vicky-wu-davis,Beacon Angels,https://signal.nfx.com/firms/beacon-angels,$225K,$50K - $400K
Leonard Langenscheidt,https://signal.nfx.com/investors/leonard-langenscheidt,J Ventures,https://signal.nfx.com/firms/j-ventures,$500K,$100K - $1M
Oliver Kicks,https://signal.nfx.com/investors/oliver-kicks,Concept Ventures,https://signal.nfx.com/firms/concept-ventures,$421K,$120K - $722K
Yon Hardisty,https://signal.nfx.com/investors/yon-hardisty,Oakland (CA),https://signal.nfx.com/investor-lists/top-san-francisco-bay-area-investors,$10K,$1K - $10K
Vladimir Glazunov,https://signal.nfx.com/investors/vladimir-glazunov,Impulse VC,https://signal.nfx.com/firms/impulse-vc,$1.5M,$750K - $5.0M
Kyung Hoon Lee,https://signal.nfx.com/investors/kyung-hoon-lee,Murex Partners,https://signal.nfx.com/firms/murex-partners,$1M,$500K - $2.0M
Clemence Luc,https://signal.nfx.com/investors/clemence-luc,Inovexus,https://signal.nfx.com/firms/inovexus,$150K,$150K - $1M
Darrel Frater,https://signal.nfx.com/investors/darrel-frater,Visible Hands,https://signal.nfx.com/firms/visible-hands,$200K,$25K - $500K
Andres Areitio,https://signal.nfx.com/investors/andres-areitio_1,TheVentureCity,https://signal.nfx.com/firms/the-venture-city,$1.5M,$100K - $5.0M
Amanda Niu,https://signal.nfx.com/investors/amanda-niu,Shine Capital,https://signal.nfx.com/firms/shine-capital,$1.5M,$100K - $5.0M
Dominique Bélanger,https://signal.nfx.com/investors/dominique-belanger,BDC Venture Capital,https://signal.nfx.com/firms/bdc-venture-capital,$3.5M,$2.0M - $5.0M
Michelle McCarthy,https://signal.nfx.com/investors/michelle-mccarthy,Verizon Ventures,https://signal.nfx.com/firms/verizon-ventures,$1.5M,$100K - $5.0M
Mark Dyne,https://signal.nfx.com/investors/mark-dyne,Morpheus Ventures,https://signal.nfx.com/firms/morpheus-ventures,$1.5M,$100K - $5.0M
Kristian Blaszczynski,https://signal.nfx.com/investors/kristian-blaszczynski,Morpheus Ventures,https://signal.nfx.com/firms/morpheus-ventures,$1.5M,$100K - $5.0M
Josh Gutfreund,https://signal.nfx.com/investors/josh-gutfreund,GOAL Ventures,https://signal.nfx.com/firms/goal-ventures,$1.5M,$100K - $5.0M
Tom Dare,https://signal.nfx.com/investors/tom-dare,Science,https://signal.nfx.com/firms/science,$1.5M,$100K - $5.0M
Eric Del Balso,https://signal.nfx.com/investors/eric-del-balso,Kohala Ventures,https://signal.nfx.com/firms/kohala-ventures,$1.5M,$100K - $5.0M
Stephen Meyer,https://signal.nfx.com/investors/stephen-meyer,IGC - Innovative Growth Capital,https://signal.nfx.com/firms/igc-innovative-growth-capital,$250K,$100K - $2.5M
Brendon Kim,https://signal.nfx.com/investors/brendon-kim,Samsung NEXT Ventures,https://signal.nfx.com/firms/samsung-next-ventures,$250K,$100K - $500K
Simon Murdoch,https://signal.nfx.com/investors/simon-murdoch,Episode 1 Ventures,https://signal.nfx.com/firms/episode-1-ventures,$1.5M,$100K - $5.0M
Roman Beloded,https://signal.nfx.com/investors/roman-beloded,YellowRocks.vc,https://signal.nfx.com/firms/yellowrocks-vc,$500K,$100K - $2.0M
Richard Yuen,https://signal.nfx.com/investors/richard-yuen,DWeb3 Capital,https://signal.nfx.com/firms/dweb3-capital,$200K,$50K - $3.0M
Shachar Oren,https://signal.nfx.com/investors/shachar-oren,Sound Media Ventures,https://signal.nfx.com/firms/sound-media-ventures,$150K,$100K - $350K
Todd Deacon,https://signal.nfx.com/investors/todd-deacon,Wildcard Ventures,https://signal.nfx.com/firms/wildcard-ventures,$50K,$50K - $100K
Duane Hall,https://signal.nfx.com/investors/duane-hall,UnEarth,https://signal.nfx.com/firms/unearth,$10K,$5K - $20K
Daniel Jassy,https://signal.nfx.com/investors/daniel-jassy,Chroma Ventures,https://signal.nfx.com/firms/chroma-ventures,$500K,$100K - $5.0M
Jeffrey Schoonover,https://signal.nfx.com/investors/jeffrey-schoonover,CloudTree Ventures,https://signal.nfx.com/firms/cloudtree-ventures,$1.5M,$100K - $5.0M
Trevor Barran,https://signal.nfx.com/investors/trevor-barran,CloudTree Ventures,https://signal.nfx.com/firms/cloudtree-ventures,$1.5M,$100K - $5.0M
Jose Luis De Alba,https://signal.nfx.com/investors/jose-luis-de-alba,Incipio Ventures,https://signal.nfx.com/firms/incipio-ventures,$250K,$100K - $5.0M
Andre Schneider Dietzold,https://signal.nfx.com/investors/andre-schneider-dietzold,SMAinvest,https://signal.nfx.com/firms/smainvest,$300K,$100K - $500K
NORMAN HUMPHREY,https://signal.nfx.com/investors/norman-humphrey,Privet Equity,https://signal.nfx.com/firms/privet-equity,$3.0M,$200K - $10.0M
Brian Pitz,https://signal.nfx.com/investors/brian-pitz,AmTech Partners,https://signal.nfx.com/firms/amtech-partners,$20K,$1 - $100K
Eric Garland,https://signal.nfx.com/investors/eric-garland,Smash Capital,https://signal.nfx.com/firms/smash-capital,$1.5M,$100K - $5.0M
Kevin Mayer,https://signal.nfx.com/investors/kevin-mayer,Smash Capital,https://signal.nfx.com/firms/smash-capital,$1.5M,$100K - $5.0M
Omri Toppol,https://signal.nfx.com/investors/omri-toppol_1,North First Ventures,https://signal.nfx.com/firms/north-first-ventures,$1.3M,$500K - $1.5M
Evan Richter,https://signal.nfx.com/investors/evan-richter,Smash Capital,https://signal.nfx.com/firms/smash-capital,$1.5M,$100K - $5.0M
Omri Krigel,https://signal.nfx.com/investors/omri-krigel,Secret Chord Ventures,https://signal.nfx.com/firms/secret-chord-ventures,$500K,$100K - $1.5M
Nicole M. Stata,https://signal.nfx.com/investors/nicole-m-stata,Boston Seed Capital,https://signal.nfx.com/firms/boston-seed-capital,$1.5M,$100K - $5.0M
Lloyd Danzig,https://signal.nfx.com/investors/lloyd-danzig,Sharp Alpha Advisors,https://signal.nfx.com/firms/sharp-alpha-advisors,$250K,$100K - $1M
Jason Yeh,https://signal.nfx.com/investors/jason-yeh_1,Patron,https://signal.nfx.com/firms/patron,$2.0M,$750K - $4.0M
Gregory Leonarczyk,https://signal.nfx.com/investors/gregory-leonarczyk,Twelve Sutherland,https://signal.nfx.com/firms/twelve-sutherland,$250K,$10K - $5.0M
Hunter Babcock,https://signal.nfx.com/investors/hunter,Atland Ventures,https://signal.nfx.com/firms/atland-ventures,$25K,$20K - $50K
Peter Blacklow,https://signal.nfx.com/investors/peter-blacklow,Boston Seed Capital,https://signal.nfx.com/firms/boston-seed-capital,$1.5M,$100K - $5.0M
Jon Kol,https://signal.nfx.com/investors/jon-kol,Galaxy Digital,https://signal.nfx.com/firms/galaxy-digital,$2.0M,$250K - $5.0M
Matthieu Dallon,https://signal.nfx.com/investors/matthieu-dallon,TRUST ESPORT,https://signal.nfx.com/firms/trust-esport,$1M,$250K - $3.0M
Mike Dudas,https://signal.nfx.com/investors/mike-dudas,6th Man Ventures,https://signal.nfx.com/firms/6th-man-ventures,$1.5M,$500K - $4.0M
David Brillembourg,https://signal.nfx.com/investors/david-brillembourg,Dune Ventures,https://signal.nfx.com/firms/dune-ventures,$3.0M,$100K - $50.0M
Amir Luria,https://signal.nfx.com/investors/amir-luria,MCM Prime,https://signal.nfx.com/firms/mcm-prime,$50K,$10K - $100K
David Raymes,https://signal.nfx.com/investors/david-raymes,Cognize Group,https://signal.nfx.com/firms/cognize-group,$50K,$10K - $150K
Gregory Laredo,https://signal.nfx.com/investors/gregory-laredo,5 Star Capital,https://signal.nfx.com/firms/5-star-capital,$100K,$10K - $1M
Amr Abdelaziz,https://signal.nfx.com/investors/amr-abdelaziz,A'Z Angels,https://signal.nfx.com/firms/a-z-angels,$1M,$25K - $5.0M
Zia Word,https://signal.nfx.com/investors/zia-word_2,MatterBlock,https://signal.nfx.com/firms/matterblock,$100K,$25K - $500K
David VanEgmond,https://signal.nfx.com/investors/david-vanegmond,Bettor Capital,https://signal.nfx.com/firms/bettor-capital,$1.5M,$100K - $5.0M
Vasile Foca,https://signal.nfx.com/investors/vasile-foca,Talis Capital,https://signal.nfx.com/firms/talis-capital,$4.0M,$1M - $10.0M
Marin Iliev,https://signal.nfx.com/investors/marin-iliev,Vitosha Venture Partners,https://signal.nfx.com/firms/vitosha-venture-partners,$300K,$50K - $1M
Michael Sackler,https://signal.nfx.com/investors/michael-sackler,Rooks Nest Ventures,https://signal.nfx.com/firms/rooks-nest-ventures,$500K,$400K - $750K
Luke Armour,https://signal.nfx.com/investors/luke-armour,Chaac Ventures,https://signal.nfx.com/firms/chaac-ventures,$500K,$250K - $1M
Shubhankar Bhattacharya,https://signal.nfx.com/investors/shubhankar-bhattacharya,Foundamental,https://signal.nfx.com/firms/foundamental,$1.5M,$100K - $5.0M
Jayesh Parekh,https://signal.nfx.com/investors/jayesh-parekh,Good Startup,https://signal.nfx.com/firms/good-startup,$1.5M,$100K - $5.0M
Manana Samuseva,https://signal.nfx.com/investors/manana-samuseva,CryptoHQ Fund,https://signal.nfx.com/firms/cryptohq-fund,$100K,$50K - $1M
Michael Szalontay,https://signal.nfx.com/investors/michael-szalontay,Flashpoint VC,https://signal.nfx.com/firms/flashpoint-vc,$2.5M,$1M - $4.0M
Ismet GÖKŞEN,https://signal.nfx.com/investors/ismet-goksen,Ludus Ventures,https://signal.nfx.com/firms/ludus-ventures,$750K,$250K - $2.0M
Jacob Key,https://signal.nfx.com/investors/jacob-key,Luminar Ventures,https://signal.nfx.com/firms/luminar-ventures,$2.5M,$1M - $5.0M
